model,assignment,emotion,personality,bleu
qwen2.5-32b-awq,shared54,neutral,NNN,7.385731653404067
qwen2.5-32b-awq,shared54,sadness,HHH,6.781334217506632
qwen2.5-32b-awq,shared54,sadness,HHL,7.2704783377541995
qwen2.5-32b-awq,shared54,sadness,HLH,7.133294429708223
qwen2.5-32b-awq,shared54,sadness,HLL,6.913547745358089
qwen2.5-32b-awq,shared54,sadness,LHH,6.647150751547303
qwen2.5-32b-awq,shared54,sadness,LHL,7.5424482758620695
qwen2.5-32b-awq,shared54,sadness,LLH,6.93993899204244
qwen2.5-32b-awq,shared54,sadness,LLL,7.313970822281168
qwen2.5-32b-awq,shared54,sadness,NNN,6.661123784261716
qwen2_5_1_5b,shared54,anger,HHH,6.249465959328028
qwen2_5_1_5b,shared54,anger,HHL,6.594084438549955
qwen2_5_1_5b,shared54,anger,HLH,6.407593280282935
qwen2_5_1_5b,shared54,anger,HLL,6.725211317418214
qwen2_5_1_5b,shared54,anger,LHH,6.579104332449161
qwen2_5_1_5b,shared54,anger,LHL,6.515763041556145
qwen2_5_1_5b,shared54,anger,LLH,6.574843943412909
qwen2_5_1_5b,shared54,anger,LLL,6.320324933687002
qwen2_5_1_5b,shared54,anger,NNN,6.506657382847038
qwen2_5_1_5b,shared54,disgust,HHH,6.509995137046861
qwen2_5_1_5b,shared54,disgust,HHL,6.543978779840849
qwen2_5_1_5b,shared54,disgust,HLH,6.376806366047745
qwen2_5_1_5b,shared54,disgust,HLL,6.417194960212201
qwen2_5_1_5b,shared54,disgust,LHH,6.28436118479222
qwen2_5_1_5b,shared54,disgust,LHL,6.449797966401415
qwen2_5_1_5b,shared54,disgust,LLH,6.574172413793104
qwen2_5_1_5b,shared54,disgust,LLL,6.343251989389921
qwen2_5_1_5b,shared54,disgust,NNN,6.605201149425287
qwen2_5_1_5b,shared54,fear,HHH,6.337099027409372
qwen2_5_1_5b,shared54,fear,HHL,6.322722811671087
qwen2_5_1_5b,shared54,fear,HLH,6.596851016799293
qwen2_5_1_5b,shared54,fear,HLL,6.546402740937224
qwen2_5_1_5b,shared54,fear,LHH,6.246435455349248
qwen2_5_1_5b,shared54,fear,LHL,6.209966843501325
qwen2_5_1_5b,shared54,fear,LLH,6.364557471264368
qwen2_5_1_5b,shared54,fear,LLL,6.214449160035366
qwen2_5_1_5b,shared54,fear,NNN,6.487897877984085
qwen2_5_1_5b,shared54,happiness,HHH,6.2578589743589745
qwen2_5_1_5b,shared54,happiness,HHL,6.601333775419982
qwen2_5_1_5b,shared54,happiness,HLH,6.577900972590628
qwen2_5_1_5b,shared54,happiness,HLL,6.688998673740053
qwen2_5_1_5b,shared54,happiness,LHH,6.363224137931034
qwen2_5_1_5b,shared54,happiness,LHL,6.5572656940760385
qwen2_5_1_5b,shared54,happiness,LLH,6.582637488947834
qwen2_5_1_5b,shared54,happiness,LLL,6.5459487179487175
qwen2_5_1_5b,shared54,happiness,NNN,6.262961980548187
qwen2_5_1_5b,shared54,neutral,HHH,6.52979575596817
qwen2_5_1_5b,shared54,neutral,HHL,6.538682581786031
qwen2_5_1_5b,shared54,neutral,HLH,6.330705570291777
qwen2_5_1_5b,shared54,neutral,HLL,6.695420866489831
qwen2_5_1_5b,shared54,neutral,LHH,6.439655614500442
qwen2_5_1_5b,shared54,neutral,LHL,6.370653404067197
qwen2_5_1_5b,shared54,neutral,LLH,6.500432360742706
qwen2_5_1_5b,shared54,neutral,LLL,6.427503536693192
