model,assignment,emotion,instances,calls,prompt_tokens,completion_tokens,total_tokens,calls_per_instance,prompt_tokens_per_instance,completion_tokens_per_instance,total_tokens_per_instance,prompt_tokens_per_call,completion_tokens_per_call,total_tokens_per_call
mistral_small_3_24b_awq,shared54,neutral,2538,15618,30325414,6584928,36910342,6.153664302600473,11948.547675334908,2594.5342789598108,14543.081954294721,1941.6963759764374,421.6242796772954,2363.320655653733
mistral_small_3_24b_awq,shared54,happiness,2538,14715,27524524,5846434,33370958,5.797872340425532,10844.966115051222,2303.559495665879,13148.5256107171,1870.5079170914034,397.31117906897725,2267.8190961603805
qwen2.5-32b-awq,shared54,fear,2538,16175,30179479,7141105,37320584,6.373128447596533,11891.047675334908,2813.6741528762805,14704.72182821119,1865.8101391035548,441.4902627511592,2307.300401854714
qwen2.5-32b-awq,shared54,anger,2538,15394,28969255,6781027,35750282,6.065405831363278,11414.206067769897,2671.7994483845546,14086.005516154451,1881.853644276991,440.49805118877487,2322.3516954657657
qwen2.5-32b-awq,shared54,sadness,2538,15512,30015096,7356613,37371709,6.111899133175729,11826.278959810874,2898.586682427108,14724.865642237983,1934.9597730789067,474.2530299123259,2409.212802991233
qwen2.5-32b-awq,shared54,disgust,2538,14930,28037031,6421298,34458329,5.882584712371947,11046.89952718676,2530.062253743105,13576.961780929865,1877.898928332217,430.0936369725385,2307.9925653047553
qwen2.5-32b-awq,shared54,neutral,2538,14210,27155239,6606850,33762089,5.598896769109535,10699.463750985027,2603.1717888100866,13302.635539795114,1910.995003518649,464.9437016185785,2375.9387051372273
qwen2.5-32b-awq,shared54,happiness,2538,14208,25678691,5714484,31393175,5.598108747044917,10117.68754925138,2251.5697399527185,12369.257289204097,1807.3403012387387,402.2018581081081,2209.542159346847
overall,shared54,fear,10152,65817,126325054,30088216,156413270,6.483156028368795,12443.366233254532,2963.7722616233254,15407.138494877856,1919.3377698770835,457.1496118024219,2376.4873816795052
overall,shared54,anger,10152,62465,118329572,28224141,146553713,6.152974783293932,11655.789204097715,2780.15573286052,14435.944936958234,1894.3339790282557,451.8392860001601,2346.1732650284157
overall,shared54,sadness,10152,62842,120993710,28762343,149756053,6.190110323089047,11918.21414499606,2833.1701142631996,14751.38425925926,1925.3637694535503,457.69299194806024,2383.0567614016104
overall,shared54,disgust,10152,61458,117837879,28046287,145884166,6.053782505910165,11607.356087470449,2762.636623325453,14369.992710795903,1917.3724982915162,456.3488398581145,2373.721338149631
overall,shared54,neutral,10152,58079,111129202,26359310,137488512,5.720941686367218,10946.532899921198,2596.4647360126082,13542.997635933807,1913.41452159989,453.8526834139706,2367.2672050138603
overall,shared54,happiness,10152,57424,106853851,24601450,131455301,5.656422379826635,10525.399034672972,2423.3106776989757,12948.709712371947,1860.787318891056,428.41756060183894,2289.204879492895
